soru,dogruCevap,aciklama,secenekA,secenekB,secenekC,secenekD,secenekE,soruSirasi,source,konuGrubu
Gebe bir hastada gelişen akut sistitin tedavisinde aşağıdaki antibakteriyel ajanlardan hangisi kullanılmalıdır?,C,"Hücre duvar öncüllerinin sitoplazmik membrandan taşınmasını sağlayan baktoprenolün yeniden kazanımını engelleyen antibiyotik ... Basitrasin Hücre duvar öncüllerinin birbirine dönüşümünü engelleyen, gebelerde idrar yolu enfeksiyonu tedavisinde kullanılabilen antibiyotik ... Fosfomisin",Karbapenemler,Kinolonlar,Fosfomisin,Gentamisin,Tetrasiklinler,,tipakademi.json,
Aşağıdakilerden hangisi bakteri hücrelerinde kromozomdan ayrı olarak bulunan plazmitlerin tamamının ortak özelliğidir?,D,"Bağımsız replike olabilen, çembersel DNA parçacığı ... Plazmid Bağımsız replike olamayan, lineer DNA parçacığı ... Transpozon Aşağıdakilerden hangisi replikon değildir? (Hangisi kendi kendine replike olamaz?) ... Transpozon",Kendilerini bakteriler arasında transfer edebilmeleri,Antibiyotik direnç genleri içermeleri,Ekzotoksin taşıyan gen taşımaları,Kendi kendilerine replike olabilmeleri,Organik bileşikleri parçalayan enzimleri kodlamaları,,tipakademi.json,
"Kan kültürlerinde antikoagülan olarak ""sodyum polianetol sülfonat"" kullanıldığında, hangi mikroorganizmanın üremesi inhibe olmaktadır?",A,,Neisseria spp.,Candida dublinensis,Streptococcus agalactia,Staphyloccus aureus,Staphylococcus epidermidis,,tipakademi.json,
Bakteri kültürü için alınacak kemik iliği örneklerinin konacağı tüpte bulunması en uygun antikoagülan hangisidir?,D,"Sodyum polianetol sülfonat (SPS) Tüm kan kültürü vasatlarına, pıhtı oluşumunu önlemek için %0,01-0,083 oranında eklenen bir antikoagülandır (BioMerieux: %0,083; BD-Litik: %0,035; BD-reçineli: %0,05; VersaTrek: %0,0125). Aminoglikozitler başta olmak üzere birçok antibiyotiği inaktive eder, kanda bulunan lizozim ve benzeri antibakteriyel faktörleri inhibe eder, komplemanı inaktive eder ve antifagositik etkilidir. Neisseria türleri, Peptostreptococcus anaerobius, Streptobacillus moniliformis, Gardnerella vaginalis, Moraxella catarrhalis ve Mycoplasma hominis gibi bazı bakterilerin üremesi üzerine in hibe edici etkisi vardır.",EDTA,Heparin,Sodyum Sitrat,Sodyum Polianetol Sülfonat,Hiçbiri,,tipakademi.json,
Dışkı örneklerinden Vibrio cholerae'nın izolasyonu için kullanılan seçici-ayırt edici besiyeri hangisidir?,B,"TCBS ... Vibrio türlerinin izolasyonu için kullanılır. V.cholerae, diğer Vibrio'lardan farklı olarak sükrozu fermente etmesi nedeni ile sarı renkli koloniler oluşturur (diğerleri ise yeşil renkli). CCFA agar ... C.difficile için kullanılır. Scheadler besiyeri... Anaerobların seçici olmayan izolasyonu ve Gram negatif anaerobik basillerin özellikle Bacteroides ve Prevotella türlerinin ve klinik örneklerden elde edilen diğer çeşitli Gram negatif anaerobların seçici izolasyonu için kullanılır. Thayer Martin Besiyeri ... Neisseria türleri için kullanılır. LIM agar ... Grup B Streptokoklar için kullanılan özel besiyeridir.",CCFA agar,TCBS agar,Schaedler besiyeri,Thayer Martin Besiyeri,LIM agar,,tipakademi.json,
Aşağıdaki antibiyotiklerden hangisi Pseudomonas aeroginosa'ya karşı etkili değildir?,D,Textbook sorularında da benzerleri sorulabiliyor. Psödomonas'a karşı en etkili penisilin ... Piperasilin Pseudomonas'a olan etkinliklerine göre Karbapenemler ... Doripenem = Meropenem > İmipenem,İmipenem,Doripenem,Meropenem,Ertapenem,Piperasilin,,tipakademi.json,
Bakteriyel Tip III Sekresyon Sistemi ile ilgili aşağıdakilerden hangisi doğru değildir?,C,Tip III Sekresyon Sistemi... Bakterinin virülans faktörlerini konak hücreye aktarmasını sağlayan şırınga benzeri yapılardır. Özellikle Gram Negatif bakterilerde bulunur. Bu bölgede meydana gelen mutasyon bakterinin virlansını azaltır. Bakteriyel Sekresyon Sistemleri ile ilgili olarak diğer sayfadaki tablomuzu inceleyelim ...,Genellikle gram negatif bakterilerde bulunur.,Şırınga benzeri yapılardır.,Bu bölgede meydana gelen mutasyonlar bakterinin virülansını artırır.,Bakterinin virülans faktörlerini konak hücreye aktarmasını sağlar.,"P.aeruginosa, Tip 111 Sekresyon Sistemi'ne sahipse ciddi hastalıklara neden olmaktadır.",,tipakademi.json,
"56 yaşında hasta acil servise ateş, deride kızarıklık ve bilinç bulanıklığı nedeni ile getiriliyor. Kan basıncı 50/20 mmHg ve kalp atımı 120/ dakika olarak ölçülen hastanın kan kültürlerinde E.coli ürüyor. Bakteriye ait virülans faktörlerinden hangisi bahsi geçen klinikten temel olarak sorumludur?",D,"Bahsi geçen klinik gram negatif septik şok kliniği olup, esas olarak gram negatif hücre duvarında bulunan lipopolisakkarid antijenin Lipid A parçası sorumludur. Gram negatif bakterilerin Lipid A parçalarının birbirlerinin aynısı olması nedeni ile gram negatif septik şok klinikleri birbirlerine benzer. Kapsül, fagositozu önler. LT ve ST ETEC'e ait toksinler olup, sırasıyla cAMP ve cGMP'yi artırarak sulu diyareye neden olurlar. Somatik O antijeni ise gram negatif bakteriler arasında değişken özellik göstermesi nedeniyle gruplamada kullanılır (E.coli 0:157 H:7'deki O, somatik O antijenidir).",Kapsül,LT,ST,Lipid A,O antijen,,tipakademi.json,
Staphylococcus aureus'un virülans faktörlerinden olan teikoik asitin temel biyolojik etkisi aşağıdakilerden hangisidir?,E,"Gram pozitif bakterilerde bulunan teikoik asidin temel görevi, bakterinin konak hücre fibronektinine bağlanmasını sağlar. Teikoik asit aynı zamanda bakteriyofajlar için de reseptör görevi görmektedir. Teikoik asit ribitol ve gliserol fosfat polimerlerinden oluşur. Fagositozu inhibe eden, kapsüldür. TNF-alfa, IL-1 gibi endojen pirojenlerin salıverilmesini uyararak ateş oluşumuna neden olan gram negatif endotoksinidir. immünglobulinlere bağlanma ise genel anlamda antijenlerin özelliğidir.",Kemotaksinin inhibisyonu,Fagositozun inhibisyonu,Endojen pirojen salıverilmesinin uyarımı,immünglobuline bağlanabilme,Fibronektine bağlanabilme,,tipakademi.json,
Bir hastanede yatmakta olan Kistik Fibrozis hastalarında ard arda Burkholderia cephacia üremiştir. Bu etkenin kaynağının aynı olup olmadığını araştırmak için en uygun yöntem aşağıdakilerden hangisidir?,E,"Güzel bir referans kitap sorusu ... Aynı türde üreyen bakterilerin kaynağının aynı olup olmadığını anlamak için önce antibiyotik duyarlılık testine bakılır. Eğer benzer antibiyotiklere duyarlı, benzer antibiyotiklere dirençlilerse olası aynı kaynaktan şüphelenilir. Kesin doğrulama içinse Nükleik asit dizi analizi yapılır.
16 S rRNA, bakterilerde bulunan mutasyonla­ ra korunaklı bölge olup, farklı türlerde farklı özellik gösterir. Örneğin E.coli'nin 16 S rRNA'sı ile Klebsiella pneumonia'nınki farklıdır. Soruda ise bize zaten aynı bakteri türü verilmiş. Kaynak aynı mı? diye araştırıyoruz. Kültür, bakteriyolojide pek çok bakteri tanısı için altın standarttır.",Kültür,Ribotiplendirme,Antibiyotik duyarlılık testi,16 S rRNA dizi analizi,Nükleik asit dizi analizi,,tipakademi.json,
"Gram pozitif bakterilerin hücre duvarını kaybetmiş, çoğalabilen formlarına ne ad verilir?",C,"Hücre duvarını kaybetmiş, çoğalamayan ... Gram Pozitif Bakteriye Protoplast Gram Negatif Bakteriye ise Sferoplast adı verilir. Hücre duvarını kaybetmiş, çoğalabilen bakterilere L form bakteri adı verilir. Tüberküloz'un L formuna Much granülü adı verilir. Babest Ernst cisimciği, polimetafosfattan oluşan enerji yedekleri olup, C.diphterla'da bulunurlar.",Protoplast,Sferoplast,L form,Much granülü,Babest Ernst cisimciği,,tipakademi.json,
Treponema cinsi bakterilerin aydınlık alan mikroskobu ile görülememesinin temel nedeni aşağıdakilerden hangisidir?,D,"Spiroket grubuna ait, Treponema ve Leptospira cinsi bakteriler, çok ince bakteriler olup ışık mikroskobunda gösterilemezler. Çözüm olarak tanılarında karanlık saha mikroskobu kullanılır.",Mi kolik asit içermemeleri,Hücre duvarlarının lipidden zengin olması,Hücre yapılarında aksiye! filamanlara sahip olmaları,Çok ince olmaları,Alınan klinik örneklerde yeterli miktarda bulunmamaları,,tipakademi.json,
Beyin absesi olan bir hastanın apse drenaj örneği modifiye aside dirençli boyama yöntemi ile boyandığında pembe-kırmızı renkte boyanan basillere rastlanmıştır. Bu durumda etken olarak öncelikle aşağıdakilerden hangisi düşünülmelidir?,A,"Soruda bize ""Hangisi ARB (+)'tir?"" şeklinde soruyor. Dolayısı ile cevap Nocardia asteroides olacak. İmmunsupresif hastada Tüberküloz benzeri kaviter enfeksiyon ve beyin abseleri N.asteroides'in tipik kliniği olup, M.tuberculosis'ten farklı olarak gram boya ile de boyanır. Aktinomyces için tipik vaka sorusu diş çekimi sonrası kronik ağrısız, drene olan sinüs kanalları ya da RİA takım öyküsü sonrası pelvik abse olacak. Treponema tipik vaka sorusu şüpheli cinsel ilişki sonrası ya da anneden bebeğe plasen tal yolla geçiş üzerine olacak. Karanlık saha mikroskobu ve serolojide kardiyolipin antijenlerinin kullanılması tanısı için anahtar kelimelerimiz. Spirilum minus, fare ısırığı ile karşımıza gelecek. Leptospira'da ise anahtar kelime fare idrarı ya da kanalizasyon suyu ile temas öyküsü sonrası ateş, sarılık, aseptik menenjit bulguları olacak.",Nocardia asteroides,Aktinomyces israelii,Treponema pallidum,Spirillum minus,Leptospira spp.,,tipakademi.json,
Aşağıdaki bakterilerden hangisinin duvarında mikolik asit bulunmaz?,E,"Aktinomyces'ler ARB (-)'tirler. Mikobakterller, uzun zincirli mi kolik aside sahip olmaları nedeni ile ARB (+) boyanırlarken; Nocardia ve Rhodococcus ise orta zincir uzunluğuna sahip mikolik aside sahip olmaları nedeni ile kısmen ARB (+) boyanırlar. Corynebacterium türleri ise kısa zincirli mikolik aside sahip olmaları nedeni ile ARB pozitif değildirler.",Corynebacterium,Nocardia,Rhodococcus,Mycobacterium,Actinomyces,,tipakademi.json,
"Mikobakterilerin tanımlanmasında kullanılan, duyarlılığı EZN boyamaya göre daha yüksek olan floresan boya aşağıdakilerden hangisidir?",C,"Auramin-Rodamin boya, daha geniş alanı taraya bilmesi nedeni ile klasik aside dirençli boyama yöntemi olan EZN'ye kıyasla duyarlılığı daha yüksek olan bir floresan mikroskobi boyasıdır. Kalkoflor beyazı, mantar hücre duvarındaki Beta-1,3 1,4 bağlarına bağlanarak etki eden ve mantarların tanımlanmasında kullanılan bir floresan boyadır. Trlchrom boyama, parazitlerin gösterilmesi amacıyla kullanılır. Giemsa, sıklıkla hücre içi etkenlerin gösterilmesi amacıyla kullanılır.
Akridin Oranj ise ortamdaki nükleik asitleri boyayarak canlı bakteri ve mantarları gösteren floresan boyadır.",Trikrom boya,Kalkoflor beyazı,Auramin- Rodamin boya,Giemsa boya,Akridin oranj,,tipakademi.json,
"Pneumocystis jirovecii'nin solunum yolu örneklerinden saptanması, hızlı tanısı amacı ile kullanılan boya aşağıdakilerden hangisidir?",D,"P.jirovecii'nin tanımlanması çok önemlidir ve her sınavda sorgulanabilir. Şıklarda geçen diğer boyaların açıklaması için 8. sorunun çözümüne bakalım. Gram boyama, başta bakterilerin tanımlanması olmak üzere rutin Mikrobiyoloji'de en sık kullanılan boyama yöntemidir. Bakteriler, hücre duvar özelliklerine göre pembe (gram negatifler) ya da mor (gram pozitifler) renkte boyanabilir. Bunun dışında mayalar genellikle gram pozitif; küfler ise genellikle gram negatif boyanırlar.",Wright- Giemsa boya,Modifiye aside dirençli boyama yöntemi,Trikrom boyama,Toludin mavisi O boyası,Gram boyama,,tipakademi.json,
Kateter enfeksiyonu gelişen bir hastadan izole edilen Staphylococcus epidermidis'in aşağıdaki yapılarından hangisi kateter üzerinde kolonize olmasını sağlamıştır?,C,"S.epidermidis, sahip olduğu Slime faktörü sayesinde yabancı cisim enfeksiyonu ve protez kapak endokarditine neden olabilir. Pili, Neisseria türleri ve Üropatojen E.coli başta olmak üzere birçok bakteride bulunan ve bakteriyi konak hücreye (adi pilus) ya da bir diğer bakteriye (F pilusu) bağlayan virülans faktörüdür. Protein A, S.aureus'ta bulunan ve diğer antijenlerden farklı olarak lgG
2 _ 14
'ün Fc kısmına bağlanan virülans faktörüdür. Peptidoglikan, bakteri hücre duvarının temel yapısını oluşturur. Teikoik asit ise sadece gram pozitif bakterilerde bulunan bakteriyi konak hücre fibronektinine bağlayan, ribitol ve gliserol fosfat polimerlerinden oluşan bakteri komponentidir.",Peptidoglikan,Pili,Slime faktör,Protein A,Teikoik asit,,tipakademi.json,
Koch postulasında ilk tanımlanan mikroorganizma aşağıdakilerden hangisidir?,D,"Koch postulası, mikroorganizmanın patojen olup olmadığını anlamaya yarayan kurallar bütünü olup, ilk tanımlanan mikroorganizma Bacillus anthracis'tir.",Treponema pallidum,Stenotrophomonas maltophilia,Mycobacterium leprae,Bacillus anthracis,Neisseria gonorrhoeae,11.0,tipakademi.json,
Bakterilerin eksponansiyel fazdaki büyüme hızları ile ilgili hangisi söylenebilir?,A,Güzel bir dikkat sorusu ... :) Bir E.coli ortalama 15 dakikada bir ikiye katlanır. Süre sabittir.,Sabittir,Artmaktadır,Azalmaktadır,Negatiftir,Hiç yoktur,12.0,tipakademi.json,
İki yaşında bir bebek acil servise ağır solunum yetmezliği nedeniyle getiriliyor. Yapılan fizik muayenede çocukta belirgin dehidratasyon saptanıyor. Çocuktan alınan kan örneğinde belirgin lenfositoz saptanıyor. Çocuğun annesinden alınan öyküde annesi çocuğun iki haftadır ataklar halinde aralıksız öksürdüğü ve öksürük nöbetlerinin ardından kustuğunu belirtiyor. Bu klinikten temel sorumlu virülans faktörü için aşağıdakilerden hangisi doğrudur?,C,"Bahsi geçen klinik Boğmaca'ya ait olup bize Pertussis toksininin özelliği soruluyor. Pertussis toksini A-B yapıda olup, cAMP'yi artırarak sıvı-iyon dengesini bozar. Bunun yanında boğmaca kliniği sırasında lenfositoz ve hipoglisemi de tipiktir. ısıya dirençli toksin Endotoksin'dir. Polisakkarid yapılı kapsül, bakteriyi fagositoza karşı korur. T lenfositlerin V8 bölgesine bağlanma süper antijenlerin özelliğidir. Afimbrial adezin, Mycoplasma pneumoniae'nın solunum yolu siliyer epiteline tutunmasını sağlar.",ısıya dirençli bir toksindir.,Polisakkarid yapıda bir kapsüldür.,A-B yapıda bir toksindir.,T lenfositlerin VB (değişken bölgenin beta) bölgesine doğrudan bağlanan bir toksindir.,Solunum epitelinin silli epiteline yapışmasından sorumlu bir afimbrial adezini vardır.,13.0,tipakademi.json,
Aşağıdaki toksinlerden hangisi membran hasarı vererek etkinlik gösteren toksinlerden biridir?,A,"Ekzotoksinler, kendi içinde üç gruba ayrılır: A-B yapıdaki toksinler, Süper Antijenler ve Membran Hasarı Veren Toksinler. C.perfringens, membran hasarı vererek etkinlik gösterir. Kolera toksini, ETEC LT, Difteri toksini A-B toksin örneği olup; S.aureus TSST-1'i ise süper antijen özelliği gösterir.",Clostridium perfringens -Alfa Toksin,Kolera toksini,S.aureus -TSST-1 toksini,ETEC-LT,Difteri Toksini,14.0,tipakademi.json,
Aşağıdakilerden hangisi A-8 modeli toksin değildir?,C,"Benzeri YDUS ve TUS'ta da çıkmış güzel bir soru. Kızıl toksini, Süper antijen özelliği gösterir. Şıklarda geçen diğer toksinler ise A-B yapıdadırlar.",Kolera toksini,Tetanoz toksini,Kızıl toksini,Botulinum toksini,Difteri toksini,15.0,tipakademi.json,
Süper antijenin T lenfositler üzerinde bağlandığı bölge aşağıdakilerden hangisidir?,A,"Süper antijenler, T lenfositlerin TCR'sinin VP bölgesine, antijen sunan hücrenin MHC-11'sine non-spesifik bağlanarak poliklonal T Lenfosit aktivasyonuna neden olurlar. Sonuçta aşırı miktarda sitokin salıverilir (sitokin fırtınası). Protein yapıdaki antijenler MHC molekülleri aracılığı ile T Lenfositler'e sunulurlar. MHC-I: Bütün çekirdekli hücrelerde ve trombositlerde bulunur (kimlik kartı). MHC-11: Makrofajlar, Dendritik Hücreler ve B Lenfositler gibi profesyonel antijen sunan hücrelerde bulunur (güvenlik kartı). CD3: Bütün T lenfositler'de bulunan moleküldür (panT marker). Hücre içerisine sinyal iletimini sağlar.
Beta-2 mikroglobulin: Sadece MHC-I molekülün­ de bulunur. Kronik diyaliz hastalarında eklemlerde birikerek, eklem şikayetleri ile giden diyalizle ilişkili amiloidoz tablosuna neden olur.",TCR'nin VP bölgesi,MHC 1,MHC il,CD3,"β
2 mikroglobulin",16.0,tipakademi.json,
Stafilokok enfeksiyonlarında endotoksin benzeri aktivite gösteren virülans faktörü aşağıdakilerden hangisidir?,E,"Gram negatif endotoksini TLR-4 reseptörleri üzerinden makrofajları klasik yoldan aktive eder ve TNF-alfa, IL-1 gibi sitokinlerin salıverilmesine neden olur. Gram pozitiflerde bulunan peptidoglikan ve lipoteikoik asit (teikoik asit değil) de TLR-2 reseptörleri üzerinden makrofajları klasik yoldan aktive eder. Lipoteikoik asit, teikoik asitten farklı olarak hücre membranına kadar uzanır ve immun sistemi çok daha kuvvetli uyarır.",Teikoik asit,Protein A,Epidermolitik toksin,Stafilokinaz,Peptidoglikan,17.0,tipakademi.json,
Bakteriyofajların gram negatifler üzerinde tutunduğu bölge aşağıdakilerden hangisidir?,A,"Bakteriyofaj, bakteriyi enfekte eden virüs olup; gram pozitiflerde teikoik aside, gram negatiflerde ise dış membran proteinlerine tutunur.",Dış membran proteinleri,N-asetilmuraminik asit,N-asetilglukozamin,Periplazmik aralık,Peptidoglikan,18.0,tipakademi.json,
Aşağıdakilerden hangisi bir enterik bakterinin serolojik olarak gruplandırılabilmesini sağlar?,E,"Lipopolisakkarid'in Lipid A kısmı bütün gram negatiflerde aynı olup, gram negatif septik şok kliniği ile ilişkilidir. Polisakkarid kısmı olan somatik O antijeni ise gram negatif bakteriler arasında değişken özellik göstermekte olup, bakterilerin gruplandırılmasını sağlar (E.coli 0:157 H:7'deki O antijeninde olduğu gibi).",Peptidoglikan,Dış membran antijeni,Lipid A,Kor antijeni,O somatik antijeni,19.0,tipakademi.json,
"1-Çiçek (Variola A)
il-Şarbon
111-Veba (Yersinia pestis)
iV- Tularemi (Francisella tularensis)
V- Viral kanamalı ateş (Ebola gibi)
vı- Hantavirüs
VII- Tifus (R.prowazekii)
Yukarıdakilerden hangileri A grubu biyoterörizm etkeni olarak isimlendirilir?",C,"Benzeri iki kez çıkmış TUS sorusu ... 1-11-111-IV-V'te verilen etkenler, A grubu biyoterör etkenidir. Kolayca bulaşırlar, hızla yayılırlar ve önemli bir halk sağlığı sorunu teşkil ederler. Hantavirüs, kategori C; Tifüs ise kategori B biyoterör etkenidir.",1-11-111,Yalnız iV,I-IHII-IV-V,l-ll-111-IV-V-VI,Hepsi,20.0,tipakademi.json,
